population,postcode,municipality
20710,4001,Aarau
1477,4002,Biberstein
7731,4003,Buchs (AG)
702,4004,Densbüren
3973,4005,Erlinsbach (AG)
7432,4006,Gränichen
1571,4007,Hirschthal
6030,4008,Küttigen
3831,4009,Muhen
7714,4010,Oberentfelden
9904,4012,Suhr
4120,4013,Unterentfelden
19012,4021,Baden
1548,4022,Bellikon
2682,4023,Bergdietikon
2922,4024,Birmenstorf (AG)
3324,4026,Ennetbaden
5556,4027,Fislisbach
980,4028,Freienwil
4975,4029,Gebenstorf
1960,4030,Killwangen
1671,4031,Künten
2083,4032,Mägenwil
5343,4033,Mellingen
8819,4034,Neuenhof
3693,4035,Niederrohrdorf
4032,4037,Oberrohrdorf
8590,4038,Obersiggenthal
2041,4039,Remetschwil
11253,4040,Spreitenbach
2139,4041,Stetten (AG)
2988,4042,Turgi
7161,4044,Untersiggenthal
20298,4045,Wettingen
1510,4046,Wohlenschwil
4577,4047,Würenlingen
6200,4048,Würenlos
4743,4049,Ehrendingen
1849,4061,Arni (AG)
4608,4062,Berikon
7775,4063,Bremgarten (AG)
980,4064,Büttikon
3857,4065,Dottikon
946,4066,Eggenwil
1626,4067,Fischbach-Göslikon
2419,4068,Hägglingen
2019,4071,Jonen
2761,4072,Niederwil (AG)
1925,4073,Oberlunkhofen
2213,4074,Oberwil-Lieli
4404,4075,Rudolfstetten-Friedlisberg
2805,4076,Sarmenstorf
1455,4077,Tägerig
462,4078,Uezwil
1298,4079,Unterlunkhofen
7021,4080,Villmergen
3571,4081,Widen
15600,4082,Wohlen (AG)
4380,4083,Zufikon
629,4084,Islisberg
1565,4091,Auenstein
4402,4092,Birr
697,4093,Birrhard
723,4094,Bözen
11200,4095,Brugg
613,4096,Effingen
279,4097,Elfingen
407,4099,Habsburg
3407,4100,Hausen (AG)
2296,4104,Lupfig
317,4105,Mandach
391,4106,Mönthal
1057,4107,Mülligen
1054,4110,Remigen
1478,4111,Riniken
866,4112,Rüfenach
649,4113,Scherz
1264,4114,Schinznach-Bad
807,4117,Thalheim (AG)
1440,4120,Veltheim (AG)
2029,4121,Villigen
1573,4122,Villnachern
7361,4123,Windisch
1570,4124,Bözberg
2224,4125,Schinznach
3065,4131,Beinwil am See
1132,4132,Birrwil
979,4133,Burg (AG)
1222,4134,Dürrenäsch
2078,4135,Gontenschwil
1317,4136,Holziken
474,4137,Leimbach (AG)
756,4138,Leutwil
5930,4139,Menziken
2692,4140,Oberkulm
8182,4141,Reinach (AG)
820,4142,Schlossrued
1164,4143,Schmiedrued
4226,4144,Schöftland
1574,4145,Teufenthal (AG)
2970,4146,Unterkulm
1320,4147,Zetzwil
2196,4161,Eiken
5284,4163,Frick
1000,4164,Gansingen
3543,4165,Gipf-Oberfrick
1427,4166,Herznach
935,4167,Hornussen
2594,4169,Kaisten
3471,4170,Laufenburg
902,4172,Münchwilen (AG)
599,4173,Oberhof
944,4175,Oeschgen
674,4176,Schwaderloch
1551,4177,Sisseln
900,4179,Ueken
1216,4181,Wittnau
1005,4182,Wölflinswil
1102,4183,Zeihen
1929,4184,Mettauertal
682,4191,Ammerswil
1418,4192,Boniswil
732,4193,Brunegg
2168,4194,Dintikon
1335,4195,Egliswil
2004,4196,Fahrwangen
790,4197,Hallwil
1163,4198,Hendschiken
1148,4199,Holderbank (AG)
3868,4200,Hunzenschwil
9162,4201,Lenzburg
2818,4202,Meisterschwanden
4395,4203,Möriken-Wildegg
4546,4204,Niederlenz
2697,4205,Othmarsingen
5144,4206,Rupperswil
2973,4207,Schafisheim
3787,4208,Seengen
4945,4209,Seon
2937,4210,Staufen
970,4221,Abtwil
1384,4222,Aristau
1982,4223,Auw
1080,4224,Beinwil (Freiamt)
607,4226,Besenbüren
571,4227,Bettwil
2780,4228,Boswil
1031,4229,Bünzen
1176,4230,Buttwil
1287,4231,Dietwil
201,4232,Geltwil
330,4233,Kallern
3420,4234,Merenschwand
1068,4235,Mühlau
7591,4236,Muri (AG)
1512,4237,Oberrüti
806,4238,Rottenschwil
4243,4239,Sins
2762,4240,Waltenschwil
803,4251,Hellikon
5565,4252,Kaiseraugst
3949,4253,Magden
10853,4254,Möhlin
1331,4255,Mumpf
1060,4256,Obermumpf
356,4257,Olsberg
13105,4258,Rheinfelden
766,4259,Schupfart
3136,4260,Stein (AG)
1900,4261,Wallbach
1078,4262,Wegenstetten
2277,4263,Zeiningen
859,4264,Zuzgen
7723,4271,Aarburg
282,4272,Attelwil
783,4273,Bottenwil
3859,4274,Brittnau
843,4275,Kirchleerau
4272,4276,Kölliken
917,4277,Moosleerau
2892,4279,Murgenthal
13251,4280,Oftringen
1245,4281,Reitnau
8684,4282,Rothrist
3695,4283,Safenwil
1083,4284,Staffelbach
4597,4285,Strengelbach
1361,4286,Uerkheim
1909,4287,Vordemwald
167,4288,Wiliberg
11487,4289,Zofingen
271,4301,Baldingen
165,4302,Böbikon
3916,4303,Böttstein
3799,4304,Döttingen
2528,4305,Endingen
440,4306,Fisibach
868,4307,Full-Reuenthal
396,4308,Kaiserstuhl
3312,4309,Klingnau
1628,4310,Koblenz
1274,4311,Leibstadt
2667,4312,Lengnau (AG)
2130,4313,Leuggern
262,4314,Mellikon
989,4315,Rekingen (AG)
739,4316,Rietheim
291,4317,Rümikon
1336,4318,Schneisingen
636,4319,Siglistorf
1167,4320,Tegerfelden
356,4322,Wislikofen
4164,4323,Bad Zurzach